  time              x              y              z             vx             vy             vz
  6.05    0.053162754       1.168463              0     -5.3844765    -0.21747951              0
   6.1    -0.21770047      1.1215567              0      -5.273185     -1.6804002              0
  6.15    -0.47415575       1.000423              0     -4.7842315     -3.1503247              0
   6.2    -0.69612363     0.80652425              0     -3.8712213     -4.5362146              0
  6.25    -0.86127788     0.54680157              0     -2.5025187      -5.702711              0
   6.3    -0.94637549     0.23625314              0    -0.69550805     -6.4622173              0
  6.35    -0.93082869   -0.099420152              0      1.4308139     -6.5938538              0
   6.4     -0.8032941    -0.42313223              0      3.6100156     -5.9162467              0
  6.45    -0.56982713    -0.69104482              0      5.4520147     -4.4090801              0
   6.5    -0.25809262    -0.86404025              0      6.5820641     -2.2969726              0
  6.55    0.088379285    -0.92074208              0      6.8192179    0.014246985              0
   6.6     0.42382916    -0.86261555              0      6.2378377      2.1214778              0
  6.65     0.71216306     -0.7085943              0      5.0734751      3.7701541              0
   6.7     0.93117667    -0.48560014              0      3.5868048      4.8736692              0
  6.75      1.0708435    -0.22122737              0      1.9849471       5.454462              0
   6.8      1.1296714    0.059846062              0      0.4064167      5.5806693              0
  6.85      1.1114852     0.33683956              0     -1.0639733      5.3276568              0
   6.9      1.0232741     0.59261174              0     -2.3750261      4.7617074              0
  6.95     0.87398259      0.8130103              0     -3.4930036      3.9361792              0
     7     0.67397369     0.98622966              0     -4.3904409      2.8933132              0
  7.05     0.43493851      1.1023416              0     -5.0386472      1.6684876              0
   7.1     0.17010898      1.1530784              0     -5.4026196     0.29602166              0
  7.15    -0.10532345      1.1319438              0     -5.4378973     -1.1830789              0
   7.2    -0.37368075      1.0347705              0     -5.0901879      -2.710398              0
  7.25    -0.61434225     0.86090399              0      -4.300706     -4.1955523              0
   7.3    -0.80375135     0.61521529              0     -3.0232028      -5.499312              0
  7.35    -0.91666253      0.3109728              0     -1.2607125     -6.4232501              0
   7.4     -0.9298226   -0.027109722              0     0.87690665     -6.7284096              0
  7.45    -0.82897186    -0.36186816              0       3.122609     -6.2125477              0
   7.5     -0.6175617    -0.64836449              0      5.0772163     -4.8385663              0
  7.55    -0.32125024     -0.8457248              0      6.3544358     -2.8199078              0
   7.6    0.017881879    -0.93035527              0      6.7607382    -0.55298574              0
  7.65     0.35482358    -0.90102337              0      6.3531901      1.5659253              0
   7.7     0.65320089    -0.77376274              0      5.3466497      3.2807084              0
  7.75     0.88948856    -0.57295253              0      3.9845718      4.4936267              0
   7.8      1.0516581    -0.32440007              0      2.4647448      5.2112343              0
  7.85       1.135963   -0.051829099              0     0.92364018      5.4862072              0
   7.9      1.1440221     0.22422065              0    -0.55146784      5.3813205              0
  7.95      1.0808163     0.48630295              0     -1.9048796       4.953341              0
     8     0.95353413     0.71955474              0     -3.0977279      4.2484218              0
  8.05     0.77104346     0.91114513              0     -4.0973168      3.3029911              0
   8.1     0.54380244      1.0498539              0     -4.8695486      2.1472606              0
  8.15      0.2840886      1.1258712              0     -5.3733695     0.81058547              0
   8.2    0.006465496      1.1309124              0     -5.5568736    -0.67082622              0
  8.25    -0.27159876      1.0587886              0     -5.3560342     -2.2426177              0
   8.3    -0.52913792     0.90665063              0     -4.6993486      -3.816269              0
  8.35    -0.74153362     0.67716168              0     -3.5251968     -5.2497577              0
   8.4     -0.8816576     0.38167486              0     -1.8211834     -6.3345454              0
  8.45    -0.92365196     0.04370714              0     0.31310389     -6.8139138              0
   8.5    -0.85034721    -0.29971652              0      2.6111439     -6.4648851              0
  8.55    -0.66253757    -0.60278137              0      4.6661143     -5.2334439              0
   8.6    -0.38373578    -0.82306092              0      6.0817462      -3.320911              0
  8.65    -0.05436295    -0.93487247              0      6.6527918      -1.112672              0
   8.7     0.28154339    -0.93432812              0      6.4190875      1.0032773              0
  8.75      0.5875458    -0.83454474              0      5.5746129      2.7703987              0
   8.8     0.83900469    -0.65728825              0      4.3452324      4.0809424              0
