  time              x              y              z             vx             vy             vz
   6.7    -0.98714136     0.26688403              0    -0.69168508     -6.1747998              0
  6.75     -1.0217256   -0.041855958              0      1.1944328     -6.0975332              0
   6.8    -0.96200397    -0.34673262              0      2.9703039     -5.4574606              0
  6.85    -0.81348878    -0.61960565              0       4.472014      -4.313661              0
   6.9    -0.58988808     -0.8352887              0      5.5609546     -2.7717079              0
  6.95    -0.31184035    -0.97387409              0      6.1366157    -0.97392451              0
     7  -0.0050095651     -1.0225703              0      6.1458634     0.91375273              0
  7.05      0.3022836    -0.97688268              0      5.5878442        2.71709              0
   7.1     0.58167581    -0.84102818              0      4.5140636      4.2696383              0
  7.15     0.80737899    -0.62754627              0      3.0236321      5.4280963              0
   7.2      0.9585606    -0.35614145              0      1.2541176      6.0855378              0
  7.25      1.0212665   -0.051864562              0    -0.63115273      6.1812804              0
   7.3     0.98970884     0.25719946              0     -2.4581673      5.7064871              0
  7.35     0.86680048     0.54252381              0     -4.0582915      4.7049815              0
   7.4      0.6638859     0.77777289              0      -5.283833      3.2692033              0
  7.45     0.39969426     0.94123305              0     -6.0216734      1.5316757              0
   7.5    0.098610585      1.0178168              0     -6.2037098     -0.3472266              0
  7.55     -0.2115749      1.0004555              0     -5.8131399     -2.1940796              0
   7.6     -0.5022319     0.89075152              0     -4.8860137     -3.8384178              0
  7.65    -0.74653258     0.69883064              0     -3.5079055     -5.1284676              0
   7.7    -0.92192786     0.44240725              0     -1.8060155     -5.9451568              0
  7.75     -1.0122286     0.14514942              0    0.062570899     -6.2131044              0
   7.8     -1.0091001     -0.1655058              0      1.9253819     -5.9075786              0
  7.85    -0.91283099    -0.46088473              0       3.610479     -5.0567798              0
   7.9    -0.73230704    -0.71372373              0      4.9623267     -3.7392371              0
  7.95     -0.4841907    -0.90068558              0      5.8561487     -2.0765606              0
     8    -0.19138327     -1.0045136              0      6.2094445    -0.22221627              0
  8.05     0.11908895     -1.0156244              0      5.9896048      1.6526388              0
   8.1      0.4185692    -0.93299249              0       5.216921      3.3749542              0
  8.15     0.67941525    -0.76424478              0      3.9627122      4.7857594              0
   8.2     0.87755086    -0.52495681              0      2.3427427       5.754836              0
  8.25     0.99468799      -0.237215              0     0.50653653      6.1927378              0
   8.3      1.0200148    0.072421887              0     -1.3764232      6.0590461              0
  8.35     0.95119366     0.37537419              0     -3.1323383      5.3661008              0
   8.4     0.79457674     0.64367923              0     -4.5991366      4.1778611              0
  8.45     0.56461991     0.85257229              0     -5.6414318      2.6040023              0
   8.5     0.28254832     0.98277241              0     -6.1630195      0.7897925              0
  8.55   -0.025602652       1.022262              0     -6.1157566     -1.0973156              0
   8.6    -0.33139048     0.96739625              0     -5.5040058     -2.8831409              0
  8.65    -0.60659077     0.82323921              0     -4.3842318     -4.4028505              0
   8.7    -0.82580237     0.60309668              0     -2.8597906     -5.5161743              0
  8.75     -0.9687919     0.32728797              0      -1.071389     -6.1203518              0
   8.8     -1.0223613    0.021270378              0     0.81590246     -6.1596172              0
  8.85    -0.98156623    -0.28671048              0      2.6278856     -5.6303462              0
   8.9    -0.85017194    -0.56822779              0      4.1973134     -4.5813908              0
  8.95    -0.64030627    -0.79729733              0      5.3793266     -3.1095702              0
     9    -0.37133995    -0.95277584              0      6.0648246     -1.3507344              0
  9.05   -0.068098715     -1.0203126              0      6.1905357     0.53277497              0
   9.1     0.24142807    -0.99367381              0      5.7448565      2.3671089              0
  9.15     0.52867089    -0.87531837              0      4.7689236      3.9829573              0
   9.2     0.76711707     -0.6761705              0      3.3528162      5.2311762              0
  9.25     0.93475788    -0.41461169              0      1.6272418      5.9965544              0
   9.3        1.01612    -0.11478397              0    -0.24852806      6.2084471              0
  9.35      1.0036936     0.19563838              0     -2.1013586      5.8472962              0
   9.4     0.89862564     0.48800319              0     -3.7602324      4.9464364              0
  9.45     0.71061402     0.73532501              0     -5.0720346      3.5890175              0
   9.5     0.45701229     0.91477589              0     -5.9156848      1.9003301              0
  9.55     0.16122805      1.0097924              0     -6.2133137    0.036241037              0
   9.6    -0.14943764      1.0116044              0       -5.93745     -1.8311931              0
  9.65    -0.44631014     0.92004479              0     -5.1135561     -3.5296069              0
   9.7    -0.70198794     0.74356444              0     -3.8176778     -4.9022359              0
  9.75    -0.89287184     0.49845265              0     -2.1694256     -5.8223856              0
   9.8     -1.0013431     0.20733337              0    -0.32093399     -6.2051255              0
  9.85     -1.0173898    -0.10292291              0        1.55718     -6.0151286              0
   9.9    -0.93953081    -0.40367933              0      3.2915653     -5.2699316              0
  9.95    -0.77495255    -0.66717591              0      4.7221371     -4.0383167              0
    10    -0.53884569    -0.86909175              0      5.7168528     -2.4339628              0
  10.1    -0.25300305    -0.99078989              0      6.1838995    -0.60495262              0
  10.1    0.056191922     -1.0210375              0      6.0801686      1.2798951              0
  10.2     0.36020035    -0.95704277              0      5.4152343      3.0466076              0
  10.2     0.63096207    -0.80471239              0      4.2504707      4.5321165              0
  10.3      0.8434856    -0.57810656              0       2.693386      5.5993082              0
  10.3      0.9781549    -0.29814115              0     0.88770017      6.1496804              0
  10.4      1.0225399   0.0093428706              0    -0.99992093      6.1324334              0
  10.4     0.97254386     0.31596454              0     -2.7952487       5.549159              0
  10.5     0.83278143     0.59342249              0     -4.3325734      4.4536939              0
  10.5     0.61615276     0.81610718              0     -5.4699988      2.9471501              0
  10.6     0.34265282     0.96346469              0     -6.1025401      1.1685826              0
  10.6    0.037525811      1.0218938              0     -6.1718132    -0.71784584              0
  10.7    -0.27106485     0.98600152              0     -5.6714242     -2.5380166              0
  10.7    -0.55463606     0.85910069              0     -4.6475593      -4.123927              0
  10.8    -0.78701402     0.65290434              0     -3.1947218     -5.3291963              0
  10.8    -0.94675012     0.38644453              0     -1.4470096     -6.0425776              0
  10.9     -1.0191006    0.084315646              0     0.43426248     -6.1982253              0
